Year	Actor	Countries
1956	Burt Lancaster  United States
1957	Pedro Infante Mexico
1958	Sidney Poitier  United States Bahamas
1959	Jean Gabin  France
1960	Fredric March United States
1961	Peter Finch United Kingdom
1962	James Stewart United States
1963	Sidney Poitier  United States Bahamas
1964	Rod Steiger United States
1965	Lee Marvin  United States
1966	Jean-Pierre Léaud France
1967	Michel Simon  Switzerland
1968	Jean-Louis Trintignant  France
1971	Jean Gabin  France
1972	Alberto Sordi Italy
1975	Vlastimil Brodský Czechoslovakia
1976	Gerhard Olschewski  West Germany
1977	Fernando Fernán Gómez Spain
1978	Craig Russell Canada
1979	Michele Placido Italy
1980	Andrzej Seweryn Poland
1981	Anatoly Solonitsyn  Soviet Union
1981	Jack Lemmon United States
1982	Michel Piccoli  France
1982	Stellan Skarsgård Sweden
1983	Bruce Dern  United States
1984	Albert Finney United Kingdom
1985	Fernando Fernán Gómez Spain
1986	Tuncel Kurtiz Turkey
1987	Gian Maria Volonté  Italy
1988	Manfred Möck  East Germany
1988	Jörg Pose East Germany
1989	Gene Hackman  United States
1990	Iain Glen United Kingdom
1991	Maynard Eziashi United Kingdom
1992	Armin Mueller-Stahl Germany
1993	Denzel Washington United States
1994	Tom Hanks United States
1995	Paul Newman United States
1996	Sean Penn United States
1997	Leonardo DiCaprio United States
1998	Samuel L. Jackson United States
1999	Michael Gwisdek Germany
2000	Denzel Washington United States
2001	Benicio del Toro  United States
2001	Benicio del Toro  Puerto Rico
2002	Jacques Gamblin France
2003	Sam Rockwell  United States
2004	Daniel Hendler  Uruguay
2005	Lou Taylor Pucci  United States
2006	Moritz Bleibtreu  Germany
2007	Julio Chávez  Argentina
2008	Reza Naji Iran
2009	Sotigui Kouyaté	Burkina Faso
2010	Grigoriy Dobrygin Russia
2010	Sergei Puskepalis Russia
2011	Payman Maadi  Iran
2011	Shahab Hosseini Iran
2011	Ali-Asghar Shahbazi Iran
2011	Babak Karimi  Iran
2012	Mikkel Følsgaard  Denmark
2013	Nazif Mujić	Nazif Bosnia and Herzegovina
2014	Liao Fan  China
2015	Tom Courtenay United Kingdom
2016	Majd Mastoura Tunisia
2017	Georg Friedrich Germany
2018	Anthony Bajon France
2019	Wang Jingchun China
